ID,EYES,MOUTH,HAIR,BODY,FRONT,BACK,SYMBOL,INTERFACE,CLOTHING,ACCESSORIES,SKYBACK,SOLIDBACK,SKY,SCAPE,SCENE,TRIBE,REOLM,1/1 Trait,ONE_TAG,CCO,DEPTH
0,Naive,Duck Face,Red Beanie,DR01,-,-,-,OFF,Beige Coat,Scars,Night,Black,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
1,Eh,Cigarette,-,BA03,-,-,C,Level3,-,-,Night,White,Night,Stars,Dump,Forbidrem,ReReolm,-,-,Private,Sky + Scape + Scene
2,Pixel,Buck Teeth,Long Spike,OR01,OR01,-,-,OFF,Green Vest,Black Snake,Evening,Black,Evening,Skyscape,City,Orcrem,UnderReolm,-,-,Private,Sky + Scape + Scene
3,Shut,+,Braids,DR03,-,-,-,Level3,Artificial Heart,Stickers,Night,White,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
4,Hypnotized,+,Curly,HU02,-,-,T,OFF,Black Camisole,Bullish Earrings,Evening,Black,Evening,-,Downtown,Hurem,MiddleReolm,-,-,Private,Sky + Scene
5,-,Buck Teeth,Fire,HU01,-,-,-,Level3,LOREM Black Tee,VR Headset,Evening,Purple,Evening,Canopy,Park,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
6,Hehe,Golden Teeth,Dreadlocks,DR02,-,-,-,OFF,Red Bear Race Suit,Fire Sunglasses,Evening,Red,Evening,Mother,Park,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
7,Devil,Dental Braces,Drive-Thru Visor,DE01,DE01,-,R,Level3,Yellow Drive-Thru Shirt,Scars,Evening,White,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8,Happy,Dog,Ornamental Bun,DE03,DE03,-,-,Level4,Red Drive-Thru Shirt,Fire Sunglasses,Evening,White,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
9,Looking Down,Meh,Short Layered,UN03,UN03,-,-,OFF,Student Shirt,Golden Lightning Ear Cuff,Afternoon,Red,Afternoon,Mother,Factory,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
10,Charming,Lip Ring,Purple Knit Hat,DR03,-,-,T,Level1,Student Shirt,Black Snake,Night,Black,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
